region,gu,legal_code,latitude,longitude
군자동,광진구,1121510900,37.5554765598173,127.075350846159
능동,광진구,1121510200,37.5537792609497,127.080536887135
자양동,광진구,1121510500,37.5311077958687,127.073018338792
중곡동,광진구,1121510100,37.5617477458583,127.090401426965
화양동,광진구,1121510700,37.5464762611363,127.071367614735
가리봉동,구로구,1153010300,37.4825327471336,126.889718085071
개봉동,구로구,1153010700,37.4930115322773,126.857746551058
고척동,구로구,1153010600,37.5013977406621,126.863557123957
구로동,구로구,1153010200,37.495770737873,126.882642231121
궁동,구로구,1153010900,37.5018731116129,126.827457184485
신도림동,구로구,1153010100,37.5077809050365,126.880610228674
오류동,구로구,1153010800,37.4889461307049,126.835492478188
온수동,구로구,1153011000,37.4941466665874,126.820586087352
천왕동,구로구,1153011100,37.4802774110976,126.83999317372
항동,구로구,1153011200,37.4790341804658,126.82244471779
가산동,금천구,1154510100,37.4768763179224,126.891779471155
독산동,금천구,1154510200,37.4681432491734,126.899392976389
시흥동,금천구,1154510300,37.4476688042386,126.908452220723
공릉동,노원구,1135010300,37.6248431089168,127.073821318894
상계동,노원구,1135010500,37.6612505755399,127.060252770712
월계동,노원구,1135010200,37.6199191869583,127.062987742987
중계동,노원구,1135010600,37.6525550467646,127.077488598779
하계동,노원구,1135010400,37.6404885286243,127.072685646642
도봉동,도봉구,1132010800,37.6873960128038,127.021495626589
방학동,도봉구,1132010600,37.6658975489539,127.026875382235
쌍문동,도봉구,1132010500,37.6513191127046,127.029190894368
창동,도봉구,1132010700,37.6522582058479,127.045432300312
답십리동,동대문구,1123010500,37.5690668295006,127.056655839753
신설동,동대문구,1123010100,37.5739610113656,127.025741991295
용두동,동대문구,1123010200,37.5758031741811,127.03726228013
이문동,동대문구,1123011000,37.6004055110661,127.066373060068
장안동,동대문구,1123010600,37.5696967138505,127.071439570463
전농동,동대문구,1123010400,37.5793286114285,127.053978285554
제기동,동대문구,1123010300,37.5831154639891,127.037818414722
청량리동,동대문구,1123010700,37.5830468218369,127.048170770368
회기동,동대문구,1123010800,37.5907885967281,127.05537245757
휘경동,동대문구,1123010900,37.5908553624267,127.065730507228
노량진동,동작구,1159010100,37.5107058110368,126.940393261192
대방동,동작구,1159010800,37.5081642609998,126.926343500008
동작동,동작구,1159010600,37.4992139256221,126.973876571542
본동,동작구,1159010400,37.5130293559068,126.954204316851
사당동,동작구,1159010700,37.4839326741508,126.973135661399
상도1동,동작구,1159010300,37.5032426328398,126.94974984805
상도동,동작구,1159010200,37.4985163075705,126.939014238644
신대방동,동작구,1159010900,37.4930124961565,126.914941920386
흑석동,동작구,1159010500,37.5057750153538,126.966590753167
공덕동,마포구,1144010200,37.5501743473819,126.960034513244
구수동,마포구,1144011300,37.5457361347133,126.932539327611
노고산동,마포구,1144011000,37.5543526246387,126.937909479778
당인동,마포구,1144011800,37.5437530625517,126.919627791269
대흥동,마포구,1144010800,37.5498936438386,126.943403941965
도화동,마포구,1144010400,37.5415244863241,126.949878054097
동교동,마포구,1144012100,37.5572085308328,126.922261659865
마포동,마포구,1144010700,37.5371140701999,126.943825451904
망원동,마포구,1144012300,37.5567856576913,126.901347294861
상수동,마포구,1144011500,37.5456269289382,126.924776753718
상암동,마포구,1144012700,37.5783209050877,126.894689433213
서교동,마포구,1144012000,37.5550949138083,126.914613374473
성산동,마포구,1144012500,37.5628827605386,126.909284812172
신공덕동,마포구,1144010300,37.543714388763,126.95556152591
신수동,마포구,1144011100,37.5470206619261,126.935226865858
신정동,마포구,1144011700,37.543161599964,126.930332866478
아현동,마포구,1144010100,37.5544867895966,126.955727151387
연남동,마포구,1144012400,37.5644776141885,126.922023205508
염리동,마포구,1144010900,37.5470619620453,126.94565571696
용강동,마포구,1144010500,37.54231770904,126.942708117541
중동,마포구,1144012600,37.5716627632571,126.9055839139
창전동,마포구,1144011400,37.549273643204,126.92977041133
토정동,마포구,1144010600,37.5388960581724,126.939782456982
하중동,마포구,1144011600,37.5435745257489,126.927779696718
합정동,마포구,1144012200,37.5516618139957,126.911756414276
현석동,마포구,1144011200,37.5421619566645,126.934289634391
남가좌동,서대문구,1141012000,37.5755473825402,126.919548350676
냉천동,서대문구,1141010500,37.5667821636119,126.961963463309
대신동,서대문구,1141011300,37.5640649698094,126.944330406191
대현동,서대문구,1141011200,37.560768646354,126.947212193537
미근동,서대문구,1141010400,37.5632950923107,126.967253249905
봉원동,서대문구,1141011500,37.5725932042939,126.946963866133
북가좌동,서대문구,1141011900,37.5780815956198,126.91039845202
북아현동,서대문구,1141011000,37.559565244981,126.956901214305
신촌동,서대문구,1141011400,37.5651616940517,126.93927687604
연희동,서대문구,1141011700,37.5739100104158,126.935230751932
영천동,서대문구,1141010800,37.5703879302211,126.956682170377
옥천동,서대문구,1141010700,37.569559807873,126.95890126611
창천동,서대문구,1141011600,37.5586862112855,126.934193637741
천연동,서대문구,1141010600,37.5675017663094,126.958422464555
충정로2가,서대문구,1141010100,37.5648511031139,126.964119536636
충정로3가,서대문구,1141010200,37.5620789699489,126.961983963838
합동,서대문구,1141010300,37.5615287939469,126.966031651429
현저동,서대문구,1141010900,37.5737854968816,126.95407204926
홍은동,서대문구,1141011800,37.5908908122788,126.933218715152
홍제동,서대문구,1141011100,37.585845800944,126.948725215733
내곡동,서초구,1165010900,37.4582463131037,127.076916934729
반포동,서초구,1165010700,37.50514467674,127.013359062646
방배동,서초구,1165010100,37.4834130146568,126.994486969319
서초동,서초구,1165010800,37.4900861966502,127.01953478052
