university,region,gu,region_latitude,region_longitude,university_latitude,university_longitude,distance_km
경희대학교,이문동,동대문구,37.6004055110661,127.066373060068,37.5939491407769,127.054890960564,1.24
경희대학교,청량리동,동대문구,37.5830468218369,127.048170770368,37.5939491407769,127.054890960564,1.35
경희대학교,전농동,동대문구,37.5793286114285,127.053978285554,37.5939491407769,127.054890960564,1.63
경희대학교,상월곡동,성북구,37.6069133345458,127.045527017386,37.5939491407769,127.054890960564,1.66
경희대학교,종암동,성북구,37.5990169781205,127.035217428043,37.5939491407769,127.054890960564,1.82
경희대학교,제기동,동대문구,37.5831154639891,127.037818414722,37.5939491407769,127.054890960564,1.93
경희대학교,중화동,중랑구,37.599461816745,127.077320262185,37.5939491407769,127.054890960564,2.07
경희대학교,하월곡동,성북구,37.6075035036308,127.037812638789,37.5939491407769,127.054890960564,2.13
경희대학교,석관동,성북구,37.6129860183721,127.0614007785,37.5939491407769,127.054890960564,2.19
경희대학교,안암동5가,성북구,37.5883977734308,127.029021378105,37.5939491407769,127.054890960564,2.36
경희대학교,용두동,동대문구,37.5758031741811,127.03726228013,37.5939491407769,127.054890960564,2.55
경희대학교,장위동,성북구,37.6170568426302,127.04956549458,37.5939491407769,127.054890960564,2.61
경희대학교,답십리동,동대문구,37.5690668295006,127.056655839753,37.5939491407769,127.054890960564,2.77
한국외국어대학교,이문동,동대문구,37.6004055110661,127.066373060068,37.5982966771548,127.057942413722,0.78
한국외국어대학교,회기동,동대문구,37.5907885967281,127.05537245757,37.5982966771548,127.057942413722,0.87
한국외국어대학교,휘경동,동대문구,37.5908553624267,127.065730507228,37.5982966771548,127.057942413722,1.07
한국외국어대학교,상월곡동,성북구,37.6069133345458,127.045527017386,37.5982966771548,127.057942413722,1.45
한국외국어대학교,석관동,성북구,37.6129860183721,127.0614007785,37.5982966771548,127.057942413722,1.66
한국외국어대학교,중화동,중랑구,37.599461816745,127.077320262185,37.5982966771548,127.057942413722,1.71
한국외국어대학교,청량리동,동대문구,37.5830468218369,127.048170770368,37.5982966771548,127.057942413722,1.9
한국외국어대학교,종암동,성북구,37.5990169781205,127.035217428043,37.5982966771548,127.057942413722,2.0
한국외국어대학교,하월곡동,성북구,37.6075035036308,127.037812638789,37.5982966771548,127.057942413722,2.05
한국외국어대학교,전농동,동대문구,37.5793286114285,127.053978285554,37.5982966771548,127.057942413722,2.14
한국외국어대학교,장위동,성북구,37.6170568426302,127.04956549458,37.5982966771548,127.057942413722,2.21
한국외국어대학교,묵동,중랑구,37.6123807746797,127.079182031593,37.5982966771548,127.057942413722,2.44
한국외국어대학교,월계동,노원구,37.6199191869583,127.062987742987,37.5982966771548,127.057942413722,2.45
한국외국어대학교,제기동,동대문구,37.5831154639891,127.037818414722,37.5982966771548,127.057942413722,2.45
한국외국어대학교,상봉동,중랑구,37.5967688195518,127.088754299651,37.5982966771548,127.057942413722,2.72
서울시립대학교,전농동,동대문구,37.5793286114285,127.053978285554,37.5825775765293,127.059988126984,0.64
서울시립대학교,회기동,동대문구,37.5907885967281,127.05537245757,37.5825775765293,127.059988126984,1.0
서울시립대학교,청량리동,동대문구,37.5830468218369,127.048170770368,37.5825775765293,127.059988126984,1.04
서울시립대학교,휘경동,동대문구,37.5908553624267,127.065730507228,37.5825775765293,127.059988126984,1.05
서울시립대학교,답십리동,동대문구,37.5690668295006,127.056655839753,37.5825775765293,127.059988126984,1.53
서울시립대학교,장안동,동대문구,37.5696967138505,127.071439570463,37.5825775765293,127.059988126984,1.75
서울시립대학교,제기동,동대문구,37.5831154639891,127.037818414722,37.5825775765293,127.059988126984,1.95
서울시립대학교,이문동,동대문구,37.6004055110661,127.066373060068,37.5825775765293,127.059988126984,2.06
서울시립대학교,용답동,성동구,37.5640758244216,127.055579052769,37.5825775765293,127.059988126984,2.09
서울시립대학교,용두동,동대문구,37.5758031741811,127.03726228013,37.5825775765293,127.059988126984,2.14
서울시립대학교,마장동,성동구,37.566379547987,127.045325760782,37.5825775765293,127.059988126984,2.22
서울시립대학교,중화동,중랑구,37.599461816745,127.077320262185,37.5825775765293,127.059988126984,2.42
서울시립대학교,면목동,중랑구,37.5803715762429,127.087661590766,37.5825775765293,127.059988126984,2.45
서울시립대학교,사근동,성동구,37.5614997515694,127.045327331714,37.5825775765293,127.059988126984,2.68
서울시립대학교,안암동5가,성북구,37.5883977734308,127.029021378105,37.5825775765293,127.059988126984,2.8
건국대학교,화양동,광진구,37.5464762611363,127.071367614735,37.539182674872,127.074711902268,0.86
건국대학교,자양동,광진구,37.5311077958687,127.073018338792,37.539182674872,127.074711902268,0.91
건국대학교,성수동2가,성동구,37.5409627375214,127.057019282187,37.539182674872,127.074711902268,1.57
건국대학교,능동,광진구,37.5537792609497,127.080536887135,37.539182674872,127.074711902268,1.7
건국대학교,송정동,성동구,37.5545322586259,127.069569072089,37.539182674872,127.074711902268,1.77
건국대학교,군자동,광진구,37.5554765598173,127.075350846159,37.539182674872,127.074711902268,1.81
건국대학교,구의동,광진구,37.5502741239801,127.093135225891,37.539182674872,127.074711902268,2.04
건국대학교,광장동,광진구,37.5468565308903,127.103025712709,37.539182674872,127.074711902268,2.64
건국대학교,청담동,강남구,37.5250293348772,127.049233039691,37.539182674872,127.074711902268,2.74
